system:index,Humidity,Latitude,Longitude,.geo
23,95.18434898273965,28.265490414820746,77.18774078796989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18774078796989,28.265490414820746]}"
24,95.18434898273965,28.265490414820746,77.19672394081108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19672394081108,28.265490414820746]}"
25,94.98607846447894,28.27447356766194,76.95417881409881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95417881409881,28.27447356766194]}"
26,94.98607846447894,28.27447356766194,76.96316196694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96316196694,28.27447356766194]}"
27,94.98607846447894,28.27447356766194,76.9721451197812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9721451197812,28.27447356766194]}"
28,94.98607846447894,28.27447356766194,76.9811282726224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9811282726224,28.27447356766194]}"
29,94.98607846447894,28.27447356766194,76.9901114254636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9901114254636,28.27447356766194]}"
30,94.98607846447894,28.27447356766194,76.99909457830479,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99909457830479,28.27447356766194]}"
31,94.98607846447894,28.27447356766194,77.00807773114599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00807773114599,28.27447356766194]}"
32,94.98607846447894,28.27447356766194,77.01706088398718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01706088398718,28.27447356766194]}"
33,94.98607846447894,28.27447356766194,77.02604403682838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02604403682838,28.27447356766194]}"
34,94.98607846447894,28.27447356766194,77.03502718966956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03502718966956,28.27447356766194]}"
35,94.98607846447894,28.27447356766194,77.04401034251076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04401034251076,28.27447356766194]}"
36,95.09565031769003,28.27447356766194,77.05299349535196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05299349535196,28.27447356766194]}"
37,95.09565031769003,28.27447356766194,77.06197664819315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06197664819315,28.27447356766194]}"
38,95.09565031769003,28.27447356766194,77.07095980103435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07095980103435,28.27447356766194]}"
39,95.09565031769003,28.27447356766194,77.07994295387554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07994295387554,28.27447356766194]}"
40,95.09565031769003,28.27447356766194,77.08892610671674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08892610671674,28.27447356766194]}"
41,95.09565031769003,28.27447356766194,77.09790925955794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,28.27447356766194]}"
42,95.09565031769003,28.27447356766194,77.10689241239913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10689241239913,28.27447356766194]}"
43,95.09565031769003,28.27447356766194,77.11587556524033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11587556524033,28.27447356766194]}"
44,95.09565031769003,28.27447356766194,77.12485871808153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12485871808153,28.27447356766194]}"
45,95.09565031769003,28.27447356766194,77.13384187092272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13384187092272,28.27447356766194]}"
46,95.09565031769003,28.27447356766194,77.14282502376392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14282502376392,28.27447356766194]}"
47,95.18434898273965,28.27447356766194,77.1518081766051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1518081766051,28.27447356766194]}"
48,95.18434898273965,28.27447356766194,77.1607913294463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1607913294463,28.27447356766194]}"
49,95.18434898273965,28.27447356766194,77.1697744822875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1697744822875,28.27447356766194]}"
50,95.18434898273965,28.27447356766194,77.17875763512869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17875763512869,28.27447356766194]}"
51,95.18434898273965,28.27447356766194,77.18774078796989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.18774078796989,28.27447356766194]}"
52,95.18434898273965,28.27447356766194,77.19672394081108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.19672394081108,28.27447356766194]}"
53,95.18434898273965,28.27447356766194,77.20570709365228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.20570709365228,28.27447356766194]}"
54,95.18434898273965,28.27447356766194,77.21469024649348,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.21469024649348,28.27447356766194]}"
55,95.18434898273965,28.27447356766194,77.22367339933467,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.22367339933467,28.27447356766194]}"
56,95.18434898273965,28.27447356766194,77.23265655217587,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.23265655217587,28.27447356766194]}"
57,95.18434898273965,28.27447356766194,77.24163970501706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.24163970501706,28.27447356766194]}"
58,94.89084374290691,28.283456720503136,76.93621250841642,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93621250841642,28.283456720503136]}"
59,94.89084374290691,28.283456720503136,76.94519566125761,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.94519566125761,28.283456720503136]}"
60,94.98607846447894,28.283456720503136,76.95417881409881,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95417881409881,28.283456720503136]}"
61,94.98607846447894,28.283456720503136,76.96316196694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96316196694,28.283456720503136]}"
62,94.98607846447894,28.283456720503136,76.9721451197812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9721451197812,28.283456720503136]}"
63,94.98607846447894,28.283456720503136,76.9811282726224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9811282726224,28.283456720503136]}"
64,94.98607846447894,28.283456720503136,76.9901114254636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9901114254636,28.283456720503136]}"
65,94.98607846447894,28.283456720503136,76.99909457830479,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99909457830479,28.283456720503136]}"
66,94.98607846447894,28.283456720503136,77.00807773114599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.00807773114599,28.283456720503136]}"
67,94.98607846447894,28.283456720503136,77.01706088398718,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.01706088398718,28.283456720503136]}"
68,94.98607846447894,28.283456720503136,77.02604403682838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.02604403682838,28.283456720503136]}"
69,94.98607846447894,28.283456720503136,77.03502718966956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03502718966956,28.283456720503136]}"
70,94.98607846447894,28.283456720503136,77.04401034251076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.04401034251076,28.283456720503136]}"
71,95.09565031769003,28.283456720503136,77.05299349535196,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05299349535196,28.283456720503136]}"
72,95.09565031769003,28.283456720503136,77.06197664819315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06197664819315,28.283456720503136]}"
73,95.09565031769003,28.283456720503136,77.07095980103435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07095980103435,28.283456720503136]}"
74,95.09565031769003,28.283456720503136,77.07994295387554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07994295387554,28.283456720503136]}"
75,95.09565031769003,28.283456720503136,77.08892610671674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08892610671674,28.283456720503136]}"
76,95.09565031769003,28.283456720503136,77.09790925955794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.09790925955794,28.283456720503136]}"
77,95.09565031769003,28.283456720503136,77.10689241239913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.10689241239913,28.283456720503136]}"
78,95.09565031769003,28.283456720503136,77.11587556524033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.11587556524033,28.283456720503136]}"
79,95.09565031769003,28.283456720503136,77.12485871808153,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.12485871808153,28.283456720503136]}"
80,95.09565031769003,28.283456720503136,77.13384187092272,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13384187092272,28.283456720503136]}"
81,95.09565031769003,28.283456720503136,77.14282502376392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14282502376392,28.283456720503136]}"
82,95.18434898273965,28.283456720503136,77.1518081766051,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1518081766051,28.283456720503136]}"
83,95.18434898273965,28.283456720503136,77.1607913294463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1607913294463,28.283456720503136]}"
84,95.18434898273965,28.283456720503136,77.1697744822875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1697744822875,28.283456720503136]}"
85,95.18434898273965,28.283456720503136,77.17875763512869,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.17875763512869,28.283456720503136]}"
