system:index,BuildingDensity,Latitude,Longitude,.geo
75,0,28.580882729269632,76.72422059017595,"{""type"":""Point"",""coordinates"":[76.72422059017595,28.580882729269632]}"
76,297,28.770713201798205,77.24788952027896,"{""type"":""Point"",""coordinates"":[77.24788952027896,28.770713201798205]}"
77,0,28.555796465247603,76.64868409309504,"{""type"":""Point"",""coordinates"":[76.64868409309504,28.555796465247603]}"
78,0,28.419339382808413,76.72943268535988,"{""type"":""Point"",""coordinates"":[76.72943268535988,28.419339382808413]}"
79,5,28.565890683856978,77.11499187788341,"{""type"":""Point"",""coordinates"":[77.11499187788341,28.565890683856978]}"
80,449,28.961033870893523,77.39276240715189,"{""type"":""Point"",""coordinates"":[77.39276240715189,28.961033870893523]}"
81,0,29.06439552370764,76.99472795300892,"{""type"":""Point"",""coordinates"":[76.99472795300892,29.06439552370764]}"
82,33,28.674980197317325,77.40352057988453,"{""type"":""Point"",""coordinates"":[77.40352057988453,28.674980197317325]}"
83,0,29.06045129139478,76.99653772221164,"{""type"":""Point"",""coordinates"":[76.99653772221164,29.06045129139478]}"
84,530,28.858712083343853,77.52315335949667,"{""type"":""Point"",""coordinates"":[77.52315335949667,28.858712083343853]}"
85,0,29.051026627027614,76.95945388223258,"{""type"":""Point"",""coordinates"":[76.95945388223258,29.051026627027614]}"
86,1145,28.396502040310114,77.36032385070473,"{""type"":""Point"",""coordinates"":[77.36032385070473,28.396502040310114]}"
87,2860,28.48642108159652,77.16759166829031,"{""type"":""Point"",""coordinates"":[77.16759166829031,28.48642108159652]}"
88,0,29.109895240638433,77.28408472335734,"{""type"":""Point"",""coordinates"":[77.28408472335734,29.109895240638433]}"
89,0,28.961760655229305,77.37005810015353,"{""type"":""Point"",""coordinates"":[77.37005810015353,28.961760655229305]}"
90,4853,28.67868879021712,77.31213596054936,"{""type"":""Point"",""coordinates"":[77.31213596054936,28.67868879021712]}"
91,0,29.10105424240584,77.24159877082683,"{""type"":""Point"",""coordinates"":[77.24159877082683,29.10105424240584]}"
92,0,28.57544477113655,76.65789799553791,"{""type"":""Point"",""coordinates"":[76.65789799553791,28.57544477113655]}"
93,0,28.691619317600775,76.63189062031373,"{""type"":""Point"",""coordinates"":[76.63189062031373,28.691619317600775]}"
94,0,28.730869745788535,77.54761360147033,"{""type"":""Point"",""coordinates"":[77.54761360147033,28.730869745788535]}"
95,3574,28.68829289405619,77.4216977222295,"{""type"":""Point"",""coordinates"":[77.4216977222295,28.68829289405619]}"
96,2400,28.48142452135525,77.17572452056518,"{""type"":""Point"",""coordinates"":[77.17572452056518,28.48142452135525]}"
97,35,28.610353938734328,77.50854171468833,"{""type"":""Point"",""coordinates"":[77.50854171468833,28.610353938734328]}"
98,0,28.911704040424155,77.22630027069673,"{""type"":""Point"",""coordinates"":[77.22630027069673,28.911704040424155]}"
99,639,28.418547419742325,76.91625275735097,"{""type"":""Point"",""coordinates"":[76.91625275735097,28.418547419742325]}"
100,3958,29.13139320100723,76.96080924907925,"{""type"":""Point"",""coordinates"":[76.96080924907925,29.13139320100723]}"
101,0,28.994502191404393,77.05391189527553,"{""type"":""Point"",""coordinates"":[77.05391189527553,28.994502191404393]}"
102,1666,28.55158182911908,77.55653260150251,"{""type"":""Point"",""coordinates"":[77.55653260150251,28.55158182911908]}"
103,0,29.133475694898305,77.19421362794417,"{""type"":""Point"",""coordinates"":[77.19421362794417,29.133475694898305]}"
104,0,28.403629123497034,77.26339619748143,"{""type"":""Point"",""coordinates"":[77.26339619748143,28.403629123497034]}"
105,0,28.480016165972938,76.84963227537112,"{""type"":""Point"",""coordinates"":[76.84963227537112,28.480016165972938]}"
106,0,28.94980382034515,76.87933904162736,"{""type"":""Point"",""coordinates"":[76.87933904162736,28.94980382034515]}"
107,0,28.579820669432404,77.51431178716172,"{""type"":""Point"",""coordinates"":[77.51431178716172,28.579820669432404]}"
108,0,28.838096702709937,77.47597271508502,"{""type"":""Point"",""coordinates"":[77.47597271508502,28.838096702709937]}"
109,2419,28.562718777720885,76.73302580069121,"{""type"":""Point"",""coordinates"":[76.73302580069121,28.562718777720885]}"
110,3189,28.401106768998982,76.98863579929473,"{""type"":""Point"",""coordinates"":[76.98863579929473,28.401106768998982]}"
111,1209,28.78968963696017,77.2844659579922,"{""type"":""Point"",""coordinates"":[77.2844659579922,28.78968963696017]}"
112,5105,28.87485094327788,77.53666353982726,"{""type"":""Point"",""coordinates"":[77.53666353982726,28.87485094327788]}"
113,3049,28.935654417149948,77.09622938847949,"{""type"":""Point"",""coordinates"":[77.09622938847949,28.935654417149948]}"
114,67,28.81455145785541,76.910087649504,"{""type"":""Point"",""coordinates"":[76.910087649504,28.81455145785541]}"
115,0,28.288875715627757,76.91948958088159,"{""type"":""Point"",""coordinates"":[76.91948958088159,28.288875715627757]}"
116,0,28.945842091635974,76.96703834531283,"{""type"":""Point"",""coordinates"":[76.96703834531283,28.945842091635974]}"
117,0,29.131387297848008,77.16925839214177,"{""type"":""Point"",""coordinates"":[77.16925839214177,29.131387297848008]}"
118,2111,28.726386905061297,77.22638162756559,"{""type"":""Point"",""coordinates"":[77.22638162756559,28.726386905061297]}"
119,0,28.76778056670435,76.62041569532906,"{""type"":""Point"",""coordinates"":[76.62041569532906,28.76778056670435]}"
120,6969,28.602992371172558,77.06352277672879,"{""type"":""Point"",""coordinates"":[77.06352277672879,28.602992371172558]}"
121,0,28.64416100428869,76.79809472560467,"{""type"":""Point"",""coordinates"":[76.79809472560467,28.64416100428869]}"
122,0,28.9135699981693,77.3124592807998,"{""type"":""Point"",""coordinates"":[77.3124592807998,28.9135699981693]}"
123,5188,28.70667018685532,77.08741561145446,"{""type"":""Point"",""coordinates"":[77.08741561145446,28.70667018685532]}"
124,146,28.60146003281403,76.9264576215353,"{""type"":""Point"",""coordinates"":[76.9264576215353,28.60146003281403]}"
125,0,28.383425414246013,77.41415102729447,"{""type"":""Point"",""coordinates"":[77.41415102729447,28.383425414246013]}"
