system:index,BuildingDensity,Humidity,LST,Latitude,Longitude,NDVI,WindSpeed,.geo
3237,4951,97.97902404269689,40.06193486000001,13.0572192624606,77.49651583017382,0.1946997221628553,2.072845077961183,"{""type"":""Point"",""coordinates"":[77.49651583017382,13.0572192624606]}"
3238,197,98.26587576812798,35.396337560000006,12.59743140700436,77.51673411775033,0.3991919191919192,1.8870584906880519,"{""type"":""Point"",""coordinates"":[77.51673411775033,12.59743140700436]}"
3239,0,97.77260849599254,44.67967987999998,13.325419628028097,77.35045867358753,0.21592649310872894,1.9861909699113183,"{""type"":""Point"",""coordinates"":[77.35045867358753,13.325419628028097]}"
3240,0,98.21510474847989,35.88169640000001,12.676089958875997,77.64264461463067,0.42837792075855063,2.1231552255028396,"{""type"":""Point"",""coordinates"":[77.64264461463067,12.676089958875997]}"
3241,565,98.04026078632661,35.65268906000006,12.834358944791036,77.70188167584261,0.3382352941176471,2.315883213853999,"{""type"":""Point"",""coordinates"":[77.70188167584261,12.834358944791036]}"
3242,0,98.072445895336,37.447149560000014,12.959911909816572,77.19060708252644,0.4005884825556957,1.856188736866696,"{""type"":""Point"",""coordinates"":[77.19060708252644,12.959911909816572]}"
3243,0,97.85734156167018,38.96475043999999,13.192189473335956,77.3751467557355,0.682995760715968,1.9923238910859988,"{""type"":""Point"",""coordinates"":[77.3751467557355,13.192189473335956]}"
3244,165,98.02551721877623,40.161057440000036,13.010727479439725,77.41648828069712,0.4566276803118908,1.9471423665068497,"{""type"":""Point"",""coordinates"":[77.41648828069712,13.010727479439725]}"
3245,0,97.88444032225645,39.86368970000001,12.728898552535647,77.89580546291332,0.3829022988505747,2.386299575514941,"{""type"":""Point"",""coordinates"":[77.89580546291332,12.728898552535647]}"
3246,310,97.83593884691993,39.86368970000001,12.79505010500466,77.88789767141462,0.5223052809259706,2.4837244849214177,"{""type"":""Point"",""coordinates"":[77.88789767141462,12.79505010500466]}"
3247,0,97.93842703866794,38.15467970000003,12.832329271471718,77.80403846641576,0.3107925344874222,2.4122455858545746,"{""type"":""Point"",""coordinates"":[77.80403846641576,12.832329271471718]}"
3248,0,97.67743916807105,41.52826544000004,13.062623310256855,78.02528844153832,0.24265038444142922,2.2494491499745304,"{""type"":""Point"",""coordinates"":[78.02528844153832,13.062623310256855]}"
3249,0,97.9359033590208,42.013624280000045,13.13316303864998,77.72919198550143,0.423411065386374,2.216465113829917,"{""type"":""Point"",""coordinates"":[77.72919198550143,13.13316303864998]}"
3250,1915,97.6899519012833,43.56198734000003,13.33226761854769,77.83779108918604,0.26469268730372364,2.2253787115468646,"{""type"":""Point"",""coordinates"":[77.83779108918604,13.33226761854769]}"
3251,4412,98.05987544411983,39.409093040000016,12.90552464317203,77.59228195476709,0.16794995187680462,2.1791265114116354,"{""type"":""Point"",""coordinates"":[77.59228195476709,12.90552464317203]}"
3252,0,98.072445895336,37.74793532000001,12.967491705106545,77.23347944949322,0.3064611736810907,1.856188736866696,"{""type"":""Point"",""coordinates"":[77.23347944949322,12.967491705106545]}"
3253,3258,98.04026078632661,35.48520608000001,12.842295411340764,77.66385914173762,0.4022316684378321,2.315883213853999,"{""type"":""Point"",""coordinates"":[77.66385914173762,12.842295411340764]}"
3254,3035,97.97215145207562,44.43016441999998,13.110444113024446,77.37678875160272,0.0683189303766509,1.9877730154699305,"{""type"":""Point"",""coordinates"":[77.37678875160272,13.110444113024446]}"
3255,489,98.09799561998094,43.78244963000003,12.607082627697807,77.84524627834557,0.38215102974828374,2.208198545271013,"{""type"":""Point"",""coordinates"":[77.84524627834557,12.607082627697807]}"
3256,0,98.05329486875205,34.50081632000001,12.775560395044888,77.39019943317871,0.5529257067718606,1.8524015283369053,"{""type"":""Point"",""coordinates"":[77.39019943317871,12.775560395044888]}"
3257,0,98.31975855293078,34.75716782000001,12.619117390557278,77.62206385022806,0.45036764705882354,2.027874282973198,"{""type"":""Point"",""coordinates"":[77.62206385022806,12.619117390557278]}"
3258,5508,97.96511865625696,37.29333866000002,12.724603745524274,77.27190349337033,0.13573287077189938,1.7916244122947607,"{""type"":""Point"",""coordinates"":[77.27190349337033,12.724603745524274]}"
3259,0,98.03315490112325,34.29573512000002,12.943072692815889,77.30355322491805,0.4742063492063492,1.8236676366913858,"{""type"":""Point"",""coordinates"":[77.30355322491805,12.943072692815889]}"
