system:index,Latitude,Longitude,NDVI,.geo
5873,28.595740393577863,76.74317501355185,0.15140997830802602,"{""type"":""Point"",""coordinates"":[76.74317501355185,28.595740393577863]}"
5874,28.4910797920027,77.19760922087477,0.4246846401187237,"{""type"":""Point"",""coordinates"":[77.19760922087477,28.4910797920027]}"
5875,28.346109582660528,77.40186005973274,0.25047994341719715,"{""type"":""Point"",""coordinates"":[77.40186005973274,28.346109582660528]}"
5876,28.89742834668287,77.0835474577395,0.14794585609118974,"{""type"":""Point"",""coordinates"":[77.0835474577395,28.89742834668287]}"
5877,28.982445815520684,76.81373245277354,0.19259629814907453,"{""type"":""Point"",""coordinates"":[76.81373245277354,28.982445815520684]}"
5878,29.089136687272177,77.26334870173659,0.5204744422479526,"{""type"":""Point"",""coordinates"":[77.26334870173659,29.089136687272177]}"
5879,29.00270444605943,76.77024757728935,0.11571540265832682,"{""type"":""Point"",""coordinates"":[76.77024757728935,29.00270444605943]}"
5880,28.408623864670734,77.2405131112788,0.16993087557603687,"{""type"":""Point"",""coordinates"":[77.2405131112788,28.408623864670734]}"
5881,28.91405719157773,76.6801359818445,0.14129059468578659,"{""type"":""Point"",""coordinates"":[76.6801359818445,28.91405719157773]}"
5882,28.847014817278566,77.44001277014304,0.23233908948194662,"{""type"":""Point"",""coordinates"":[77.44001277014304,28.847014817278566]}"
5883,28.76109364126979,77.16956818217312,0.25966197848954026,"{""type"":""Point"",""coordinates"":[77.16956818217312,28.76109364126979]}"
5884,28.31378137762185,77.08494619491613,0.1407003564688614,"{""type"":""Point"",""coordinates"":[77.08494619491613,28.31378137762185]}"
5885,28.451634262595213,76.91912103671157,0.16346671451641845,"{""type"":""Point"",""coordinates"":[76.91912103671157,28.451634262595213]}"
5886,28.36689520724497,77.4051903874737,0.3475274725274725,"{""type"":""Point"",""coordinates"":[77.4051903874737,28.36689520724497]}"
5887,28.715634970686462,77.36633463875658,0.5823768974453906,"{""type"":""Point"",""coordinates"":[77.36633463875658,28.715634970686462]}"
5888,28.78942056341628,76.84791837196832,0.1350410345685153,"{""type"":""Point"",""coordinates"":[76.84791837196832,28.78942056341628]}"
5889,28.921071844934414,76.73505571559234,0.1483548200885126,"{""type"":""Point"",""coordinates"":[76.73505571559234,28.921071844934414]}"
5890,28.864210496639675,77.48137102018379,0.27523686980933443,"{""type"":""Point"",""coordinates"":[77.48137102018379,28.864210496639675]}"
5891,29.04749712972071,76.88686424203867,0.1434894872740686,"{""type"":""Point"",""coordinates"":[76.88686424203867,29.04749712972071]}"
5892,28.798404987645434,77.04342908898529,0.20008302200083022,"{""type"":""Point"",""coordinates"":[77.04342908898529,28.798404987645434]}"
5893,28.465127220007012,76.90020152699235,0.2148972602739726,"{""type"":""Point"",""coordinates"":[76.90020152699235,28.465127220007012]}"
5894,28.403284313570314,77.40797041469045,0.35571168358053606,"{""type"":""Point"",""coordinates"":[77.40797041469045,28.403284313570314]}"
5895,28.825542321242036,77.14672111264025,-0.01079913606911447,"{""type"":""Point"",""coordinates"":[77.14672111264025,28.825542321242036]}"
5896,28.94985433410014,77.03621627338354,0.5427594070695553,"{""type"":""Point"",""coordinates"":[77.03621627338354,28.94985433410014]}"
5897,28.60757556258172,77.45671706684622,0.08217054263565891,"{""type"":""Point"",""coordinates"":[77.45671706684622,28.60757556258172]}"
5898,29.078516144323675,77.06010725477708,0.4119417962870045,"{""type"":""Point"",""coordinates"":[77.06010725477708,29.078516144323675]}"
5899,28.77662790628609,77.17569870057304,0.22281331188915007,"{""type"":""Point"",""coordinates"":[77.17569870057304,28.77662790628609]}"
5900,28.41976305385748,76.71287519901742,0.14789579158316632,"{""type"":""Point"",""coordinates"":[76.71287519901742,28.41976305385748]}"
5901,28.33545414200894,77.18897746553424,0.17119393556538218,"{""type"":""Point"",""coordinates"":[77.18897746553424,28.33545414200894]}"
5902,28.66111329991832,77.19275778161648,0.2853946947906679,"{""type"":""Point"",""coordinates"":[77.19275778161648,28.66111329991832]}"
5903,28.764131063063914,77.33466085502592,0.631385473444036,"{""type"":""Point"",""coordinates"":[77.33466085502592,28.764131063063914]}"
5904,29.013038194998767,77.01536494584646,0.14142792178262847,"{""type"":""Point"",""coordinates"":[77.01536494584646,29.013038194998767]}"
5905,28.591805846246743,76.69682733840493,0.13515523331474252,"{""type"":""Point"",""coordinates"":[76.69682733840493,28.591805846246743]}"
5906,28.657660471430574,77.59300888306406,0.17592997811816194,"{""type"":""Point"",""coordinates"":[77.59300888306406,28.657660471430574]}"
5907,28.674490689952535,77.24487024057031,0.20802984544324035,"{""type"":""Point"",""coordinates"":[77.24487024057031,28.674490689952535]}"
5908,28.430826031770387,77.01762581090155,0.37151037938439513,"{""type"":""Point"",""coordinates"":[77.01762581090155,28.430826031770387]}"
5909,29.07867230619043,77.15534803214223,0.22685409597673292,"{""type"":""Point"",""coordinates"":[77.15534803214223,29.07867230619043]}"
5910,28.893775296081156,76.64882397830712,0.10976138828633406,"{""type"":""Point"",""coordinates"":[76.64882397830712,28.893775296081156]}"
5911,28.997422620038677,76.8664847846384,0.17245061398825415,"{""type"":""Point"",""coordinates"":[76.8664847846384,28.997422620038677]}"
5912,28.263735276782754,77.08535290436528,0.15499797652772157,"{""type"":""Point"",""coordinates"":[77.08535290436528,28.263735276782754]}"
5913,28.825931693203227,77.46840400297052,0.525963149078727,"{""type"":""Point"",""coordinates"":[77.46840400297052,28.825931693203227]}"
5914,28.699189994381122,76.66289329824544,0.13303808680248008,"{""type"":""Point"",""coordinates"":[76.66289329824544,28.699189994381122]}"
5915,28.91443187249804,77.01637099802605,0.1473640514736405,"{""type"":""Point"",""coordinates"":[77.01637099802605,28.91443187249804]}"
5916,28.389019974736108,76.78279617386534,0.10583471378612185,"{""type"":""Point"",""coordinates"":[76.78279617386534,28.389019974736108]}"
5917,28.395690576632557,77.35493445488677,0.20046116155065571,"{""type"":""Point"",""coordinates"":[77.35493445488677,28.395690576632557]}"
5918,28.493541417730672,77.50526607465709,0.6316858496953284,"{""type"":""Point"",""coordinates"":[77.50526607465709,28.493541417730672]}"
5919,28.559194888741878,76.63437021763062,0.13651799864161196,"{""type"":""Point"",""coordinates"":[76.63437021763062,28.559194888741878]}"
5920,28.862780256385687,77.13917010536993,0.22580645161290322,"{""type"":""Point"",""coordinates"":[77.13917010536993,28.862780256385687]}"
5921,28.768872796409383,77.28257989631311,0.10199932226363945,"{""type"":""Point"",""coordinates"":[77.28257989631311,28.768872796409383]}"
5922,28.952179592098886,77.37789852874674,0.1889103803997421,"{""type"":""Point"",""coordinates"":[77.37789852874674,28.952179592098886]}"
5923,28.40796600270097,77.11973484507723,0.49187380497131933,"{""type"":""Point"",""coordinates"":[77.11973484507723,28.40796600270097]}"
5924,28.69231136373583,76.74014178076446,0.18961742937558637,"{""type"":""Point"",""coordinates"":[76.74014178076446,28.69231136373583]}"
5925,28.88326413826184,77.01266952587724,0.13336367774237598,"{""type"":""Point"",""coordinates"":[77.01266952587724,28.88326413826184]}"
5926,28.843075915174307,77.50459992844884,0.6650289332896604,"{""type"":""Point"",""coordinates"":[77.50459992844884,28.843075915174307]}"
5927,28.432677962292033,77.02018414113229,0.1016949152542373,"{""type"":""Point"",""coordinates"":[77.02018414113229,28.432677962292033]}"
5928,28.69994030034128,77.0848320874712,0.13869188337273444,"{""type"":""Point"",""coordinates"":[77.0848320874712,28.69994030034128]}"
5929,28.863992978052213,77.57040243701692,0.3740978874163496,"{""type"":""Point"",""coordinates"":[77.57040243701692,28.863992978052213]}"
5930,28.79431646569926,77.32552586565197,0.19831932773109243,"{""type"":""Point"",""coordinates"":[77.32552586565197,28.79431646569926]}"
5931,28.382799154762136,77.08389850948373,0.21299440212902634,"{""type"":""Point"",""coordinates"":[77.08389850948373,28.382799154762136]}"
5932,28.83395702458634,76.81499735060491,0.6588588588588589,"{""type"":""Point"",""coordinates"":[76.81499735060491,28.83395702458634]}"
5933,28.609988318140427,77.25390585554547,0.48868778280542985,"{""type"":""Point"",""coordinates"":[77.25390585554547,28.609988318140427]}"
5934,29.01088750949178,77.37101648586567,0.581263094881772,"{""type"":""Point"",""coordinates"":[77.37101648586567,29.01088750949178]}"
5935,28.397763170850904,76.76822965039494,0.12069698257543561,"{""type"":""Point"",""coordinates"":[76.76822965039494,28.397763170850904]}"
5936,29.09276045842258,77.2692678436964,0.1857081728712024,"{""type"":""Point"",""coordinates"":[77.2692678436964,29.09276045842258]}"
5937,28.9160239383526,77.15624825756353,0.5588832487309645,"{""type"":""Point"",""coordinates"":[77.15624825756353,28.9160239383526]}"
5938,28.996534888149178,77.44467806084188,0.2610359785659607,"{""type"":""Point"",""coordinates"":[77.44467806084188,28.996534888149178]}"
5939,28.986545830612492,76.9706608227949,0.20478663355159177,"{""type"":""Point"",""coordinates"":[76.9706608227949,28.986545830612492]}"
5940,29.02462308559645,76.82261754455483,0.15285777580859547,"{""type"":""Point"",""coordinates"":[76.82261754455483,29.02462308559645]}"
5941,28.389239665965913,76.96647194423181,0.14730829150077895,"{""type"":""Point"",""coordinates"":[76.96647194423181,28.389239665965913]}"
5942,28.584622385966625,77.31586867745148,0.15430861723446893,"{""type"":""Point"",""coordinates"":[77.31586867745148,28.584622385966625]}"
5943,28.921597160103282,76.98448431243771,0.10653188180404355,"{""type"":""Point"",""coordinates"":[76.98448431243771,28.921597160103282]}"
5944,28.56040325379991,76.77661155699325,0.16564900531810123,"{""type"":""Point"",""coordinates"":[76.77661155699325,28.56040325379991]}"
5945,28.591697445711315,77.36340140540574,0.060691421254801536,"{""type"":""Point"",""coordinates"":[77.36340140540574,28.591697445711315]}"
5946,28.824570603648908,77.13784570830677,0.25445544554455446,"{""type"":""Point"",""coordinates"":[77.13784570830677,28.824570603648908]}"
5947,28.946610936813716,76.94268325768886,0.20921658986175115,"{""type"":""Point"",""coordinates"":[76.94268325768886,28.946610936813716]}"
5948,28.78681959358225,77.09128432060504,0.15515265187037616,"{""type"":""Point"",""coordinates"":[77.09128432060504,28.78681959358225]}"
5949,28.463357205263993,77.47768916581356,0.2120954003407155,"{""type"":""Point"",""coordinates"":[77.47768916581356,28.463357205263993]}"
5950,28.787145572369095,76.74864516543744,0.14447592067988668,"{""type"":""Point"",""coordinates"":[76.74864516543744,28.787145572369095]}"
5951,28.931193546522067,77.42455766084534,0.4079295154185022,"{""type"":""Point"",""coordinates"":[77.42455766084534,28.931193546522067]}"
5952,28.49519032698104,77.55492291365034,0.2729898892633606,"{""type"":""Point"",""coordinates"":[77.55492291365034,28.49519032698104]}"
5953,29.084180751057996,76.93180451596524,0.1361521343313777,"{""type"":""Point"",""coordinates"":[76.93180451596524,29.084180751057996]}"
5954,29.101651636204004,76.95574182551869,0.16355140186915887,"{""type"":""Point"",""coordinates"":[76.95574182551869,29.101651636204004]}"
5955,29.04817229355916,77.08027449644639,0.2578616352201258,"{""type"":""Point"",""coordinates"":[77.08027449644639,29.04817229355916]}"
5956,29.062414813530783,77.38341049861779,0.16211878009630817,"{""type"":""Point"",""coordinates"":[77.38341049861779,29.062414813530783]}"
5957,28.938746076563028,76.90939463091503,0.10031347962382445,"{""type"":""Point"",""coordinates"":[76.90939463091503,28.938746076563028]}"
5958,28.82292879813946,77.58264382945762,0.2075641602881585,"{""type"":""Point"",""coordinates"":[77.58264382945762,28.82292879813946]}"
5959,28.882232701582865,76.71874021808279,0.1499811106913487,"{""type"":""Point"",""coordinates"":[76.71874021808279,28.882232701582865]}"
5960,28.5893744220231,77.39944162994176,0.4339728329365635,"{""type"":""Point"",""coordinates"":[77.39944162994176,28.5893744220231]}"
5961,28.82791117072099,77.25597359365557,0.14474845542806708,"{""type"":""Point"",""coordinates"":[77.25597359365557,28.82791117072099]}"
5962,28.636795379873124,77.07165730870472,0.4504442925495557,"{""type"":""Point"",""coordinates"":[77.07165730870472,28.636795379873124]}"
5963,28.887812130304745,77.32565505912078,0.3996457283008584,"{""type"":""Point"",""coordinates"":[77.32565505912078,28.887812130304745]}"
5964,28.658449333131333,77.06469733508587,0.10808841389361186,"{""type"":""Point"",""coordinates"":[77.06469733508587,28.658449333131333]}"
5965,28.964439826974516,76.92128164246594,0.5599725839616175,"{""type"":""Point"",""coordinates"":[76.92128164246594,28.964439826974516]}"
5966,28.529519734728918,76.66877508928648,0.4760594386351128,"{""type"":""Point"",""coordinates"":[76.66877508928648,28.529519734728918]}"
5967,28.55487178420611,76.98027574022748,0.40489017820140905,"{""type"":""Point"",""coordinates"":[76.98027574022748,28.55487178420611]}"
5968,28.762806400142328,76.69004466915604,0.1577490774907749,"{""type"":""Point"",""coordinates"":[76.69004466915604,28.762806400142328]}"
5969,28.62564141136969,76.79917200599326,0.11086023933167757,"{""type"":""Point"",""coordinates"":[76.79917200599326,28.62564141136969]}"
5970,28.523049782805664,76.74827167949948,0.12442396313364056,"{""type"":""Point"",""coordinates"":[76.74827167949948,28.523049782805664]}"
5971,28.755836525617383,76.63221690062706,0.08988355167394468,"{""type"":""Point"",""coordinates"":[76.63221690062706,28.755836525617383]}"
5972,28.52733937672415,77.26298167537341,0.3115436042192839,"{""type"":""Point"",""coordinates"":[77.26298167537341,28.52733937672415]}"
5973,28.60027090913398,76.63734464364641,0.6122957629465522,"{""type"":""Point"",""coordinates"":[76.63734464364641,28.60027090913398]}"
5974,28.959222136575857,76.78158472594335,0.1695906432748538,"{""type"":""Point"",""coordinates"":[76.78158472594335,28.959222136575857]}"
5975,29.064345752407146,77.08408747838968,0.12762237762237763,"{""type"":""Point"",""coordinates"":[77.08408747838968,29.064345752407146]}"
5976,28.266997015512526,77.16690271242443,0.47837186214721317,"{""type"":""Point"",""coordinates"":[77.16690271242443,28.266997015512526]}"
5977,28.977956016986134,77.01798465314478,0.2978505629477994,"{""type"":""Point"",""coordinates"":[77.01798465314478,28.977956016986134]}"
5978,29.01889543615591,76.86676853756002,0.11204895547583879,"{""type"":""Point"",""coordinates"":[76.86676853756002,29.01889543615591]}"
5979,28.52069761853152,76.6636220242743,0.18269427927004306,"{""type"":""Point"",""coordinates"":[76.6636220242743,28.52069761853152]}"
5980,28.528538420731138,77.14813776808136,0.5715116279069767,"{""type"":""Point"",""coordinates"":[77.14813776808136,28.528538420731138]}"
5981,28.778399751031028,77.30374350866016,0.2056442285449919,"{""type"":""Point"",""coordinates"":[77.30374350866016,28.778399751031028]}"
5982,28.79468600922466,77.43917541279576,0.4951509356645267,"{""type"":""Point"",""coordinates"":[77.43917541279576,28.79468600922466]}"
5983,28.31249707970754,77.25364274886631,0.1390532544378698,"{""type"":""Point"",""coordinates"":[77.25364274886631,28.31249707970754]}"
5984,28.699383609206787,76.75229172098956,0.10883824346859367,"{""type"":""Point"",""coordinates"":[76.75229172098956,28.699383609206787]}"
5985,28.843796739380757,76.77663874363117,0.13991769547325103,"{""type"":""Point"",""coordinates"":[76.77663874363117,28.843796739380757]}"
5986,28.69397024958353,77.12717891063551,0.26963151207115627,"{""type"":""Point"",""coordinates"":[77.12717891063551,28.69397024958353]}"
5987,28.88121999673452,77.32625265329227,0.22521677993906727,"{""type"":""Point"",""coordinates"":[77.32625265329227,28.88121999673452]}"
5988,28.54047418345498,77.01255379864543,0.3148193659375768,"{""type"":""Point"",""coordinates"":[77.01255379864543,28.54047418345498]}"
5989,28.63601197154312,77.1245541321106,0.14519140989729226,"{""type"":""Point"",""coordinates"":[77.1245541321106,28.63601197154312]}"
5990,28.665748872168745,77.46803189578276,0.09683578832515002,"{""type"":""Point"",""coordinates"":[77.46803189578276,28.665748872168745]}"
5991,28.494290136994444,77.18432775226121,0.08104125736738703,"{""type"":""Point"",""coordinates"":[77.18432775226121,28.494290136994444]}"
5992,29.02092505930208,77.13912863760555,0.19213583556747096,"{""type"":""Point"",""coordinates"":[77.13912863760555,29.02092505930208]}"
5993,28.38153780389004,77.2101406280953,0.21152177685233386,"{""type"":""Point"",""coordinates"":[77.2101406280953,28.38153780389004]}"
5994,29.006925940549838,77.1562046933348,0.12452170110418717,"{""type"":""Point"",""coordinates"":[77.1562046933348,29.006925940549838]}"
5995,28.422310095813472,76.87221506963364,0.11429343420697109,"{""type"":""Point"",""coordinates"":[76.87221506963364,28.422310095813472]}"
5996,28.90656434532336,77.24048485941894,0.12730627306273062,"{""type"":""Point"",""coordinates"":[77.24048485941894,28.90656434532336]}"
5997,28.746682237535424,77.52436809009762,0.30543723377599596,"{""type"":""Point"",""coordinates"":[77.52436809009762,28.746682237535424]}"
5998,28.434270301943858,77.08334033349168,0.3361250697934115,"{""type"":""Point"",""coordinates"":[77.08334033349168,28.434270301943858]}"
5999,28.705210124743083,77.1984080551841,0.48821898821898824,"{""type"":""Point"",""coordinates"":[77.1984080551841,28.705210124743083]}"
6000,28.484716944689147,77.37454254318226,0.2503453992815695,"{""type"":""Point"",""coordinates"":[77.37454254318226,28.484716944689147]}"
6001,28.971992208074163,77.45922108123652,0.2753660089115213,"{""type"":""Point"",""coordinates"":[77.45922108123652,28.971992208074163]}"
6002,28.960178732008423,77.05742360944845,0.1759014951627089,"{""type"":""Point"",""coordinates"":[77.05742360944845,28.960178732008423]}"
6003,28.71259524749157,77.49100303933761,0.4038706031925413,"{""type"":""Point"",""coordinates"":[77.49100303933761,28.71259524749157]}"
6004,28.730655019263857,77.10394408606864,0.618106471150781,"{""type"":""Point"",""coordinates"":[77.10394408606864,28.730655019263857]}"
6005,29.07498929193005,77.13279569825639,0.2786885245901639,"{""type"":""Point"",""coordinates"":[77.13279569825639,29.07498929193005]}"
6006,28.934636799970676,77.08004897556636,0.09956017592962815,"{""type"":""Point"",""coordinates"":[77.08004897556636,28.934636799970676]}"
6007,28.762978421032102,76.89285237922796,0.15943905070118664,"{""type"":""Point"",""coordinates"":[76.89285237922796,28.762978421032102]}"
6008,28.760526878839826,77.18483974839121,0.4235021154633547,"{""type"":""Point"",""coordinates"":[77.18483974839121,28.760526878839826]}"
